Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login with email,Chrome 112.0.0.0,,,2023-04-07 03:27:28,2023-04-07 03:30:28,3m - 0.063s,PASSED
,,,,,,,
Test Cases/LOGIN/Login with email/LOG-01,Chrome 112.0.0.0,Login dengan email dan kata sandi yang valid,,2023-04-07 03:27:28,2023-04-07 03:27:48,20.234s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 03:27:28,2023-04-07 03:27:28,0.014s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 03:27:28,2023-04-07 03:27:30,1.951s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:27:30,2023-04-07 03:27:31,0.134s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:27:31,2023-04-07 03:27:35,4.793s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:27:35,2023-04-07 03:27:37,1.919s,PASSED
"setText(findTestObject(""Login-Repo/Email_inputText""), Valid_email)",Chrome 112.0.0.0,,,2023-04-07 03:27:37,2023-04-07 03:27:40,2.687s,PASSED
"setText(findTestObject(""Login-Repo/Password_inputText""), Valid_password)",Chrome 112.0.0.0,,,2023-04-07 03:27:40,2023-04-07 03:27:41,0.713s,PASSED
"click(findTestObject(""Login-Repo/RememberMe_check_button""))",Chrome 112.0.0.0,,,2023-04-07 03:27:41,2023-04-07 03:27:41,0.329s,PASSED
"click(findTestObject(""Login-Repo/Login_button(loginpage)""))",Chrome 112.0.0.0,,,2023-04-07 03:27:41,2023-04-07 03:27:41,0.334s,PASSED
delay(3),Chrome 112.0.0.0,,,2023-04-07 03:27:41,2023-04-07 03:27:44,3.027s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/Assert_Home""), ""Home"")",Chrome 112.0.0.0,,,2023-04-07 03:27:44,2023-04-07 03:27:45,1.180s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 03:27:45,2023-04-07 03:27:46,0.650s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 03:27:48,2023-04-07 03:27:48,0.000s,PASSED
,,,,,,,
Test Cases/LOGIN/Login with email/LOG-02,Chrome 112.0.0.0,Login dengan mengkosongkan field email dan password.,,2023-04-07 03:27:48,2023-04-07 03:28:01,12.729s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 03:27:48,2023-04-07 03:27:48,0.001s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 03:27:48,2023-04-07 03:27:49,1.144s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:27:49,2023-04-07 03:27:50,0.126s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:27:50,2023-04-07 03:27:52,2.343s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:27:52,2023-04-07 03:27:53,1.301s,PASSED
"click(findTestObject(""Login-Repo/RememberMe_check_button""))",Chrome 112.0.0.0,,,2023-04-07 03:27:53,2023-04-07 03:27:56,2.343s,PASSED
"click(findTestObject(""Login-Repo/Login_button(loginpage)""))",Chrome 112.0.0.0,,,2023-04-07 03:27:56,2023-04-07 03:27:56,0.342s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-04-07 03:27:56,2023-04-07 03:27:58,2.016s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/assert-error_incorrect-username-or-password""), ""Incorrect username or password."")",Chrome 112.0.0.0,,,2023-04-07 03:27:58,2023-04-07 03:27:58,0.294s,PASSED
