Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
validasi input login,Chrome 112.0.0.0,,,2023-04-07 05:32:40,2023-04-07 05:33:24,43.208s,PASSED
,,,,,,,
Test Cases/LOGIN/validasi input login/VLOG-01,Chrome 112.0.0.0,Input email address or username menggunakan karakter & (ampersand symbol),,2023-04-07 05:32:41,2023-04-07 05:32:53,12.580s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 05:32:41,2023-04-07 05:32:41,0.015s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 05:32:41,2023-04-07 05:32:43,1.840s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 05:32:43,2023-04-07 05:32:43,0.164s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 05:32:43,2023-04-07 05:32:46,2.580s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 05:32:46,2023-04-07 05:32:48,2.436s,PASSED
"setText(findTestObject(""Login-Repo/Email_inputText""), ""&testing.brinsgmail.com"")",Chrome 112.0.0.0,,,2023-04-07 05:32:48,2023-04-07 05:32:50,2.043s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/Assert_Forbidden_characters""), ""Forbidden character(s) & in username."")",Chrome 112.0.0.0,,,2023-04-07 05:32:50,2023-04-07 05:32:50,0.450s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 05:32:50,2023-04-07 05:32:51,0.687s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 05:32:53,2023-04-07 05:32:53,0.001s,PASSED
,,,,,,,
Test Cases/LOGIN/validasi input login/VLOG-02,Chrome 112.0.0.0,Input email address or username menggunakan karakter : (colon symbol),,2023-04-07 05:32:53,2023-04-07 05:33:04,10.631s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 05:32:53,2023-04-07 05:32:53,0.002s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 05:32:53,2023-04-07 05:32:55,1.111s,PASSED
